wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
1,01,2019-04-07,1,5.26,5.26,1
1,01,2019-04-08,2,19.310000000000002,14.32,1
1,01,2019-04-09,6,10.86,4.82,1
1,01,2019-04-10,3,5.59,2.66,1
1,01,2019-04-13,2,8.74,6.85,1
1,01,2019-04-14,4,11.36,5.45,1
1,01,2019-04-16,3,6.199999999999999,3.34,1
1,01,2019-04-18,2,5.12,2.73,1
1,01,2019-04-19,3,6.03,2.91,1
1,01,2019-04-20,1,3.09,3.09,1
1,01,2019-04-23,3,4.48,2.42,1
1,01,2019-04-24,1,5.25,5.25,1
1,01,2019-04-30,2,8.72,6.19,1
1,01,2019-05-01,2,6.87,4.13,1
1,01,2019-05-06,1,1.53,1.53,1
1,01,2019-05-08,1,0.66,0.66,1
1,01,2019-05-21,1,0.4,0.4,1
1,01,2019-06-01,2,5.42,2.94,1
1,01,2019-06-08,1,6.13,6.13,1
1,01,2019-06-16,3,77.96,52.43,1
1,01,2019-06-20,3,92.74,46.05,1
1,01,2019-07-03,4,160.7,44.9,1
1,01,2019-07-09,15,225.16,37.55,1
1,01,2019-07-11,1,3.83,3.83,1
1,01,2019-07-21,3,11.23,5.42,1
1,01,2019-07-24,3,52.64,45.55,1
1,01,2019-07-27,1,1.67,1.67,1
1,01,2019-08-06,2,9.84,7.6,1
1,01,2019-08-17,1,6.09,6.09,1
1,01,2019-08-22,1,12.84,12.84,1
1,01,2019-08-23,5,7.62,1.7,1
1,01,2019-08-25,3,9.39,4.51,1
1,01,2019-08-26,2,5.97,3.46,1
1,01,2019-08-27,3,5.640000000000001,2.12,1
1,01,2019-09-09,2,6.88,4.99,1
1,01,2019-09-11,2,7.800000000000001,4.74,1
1,01,2019-09-12,1,9.8,9.8,1
1,01,2019-09-15,2,6.92,3.46,1
1,01,2019-09-22,1,23.67,23.67,1
1,01,2019-09-23,3,35.42,16.98,1
1,01,2019-09-24,2,7.62,4.74,1
1,01,2019-09-30,1,6.7,6.7,1
1,01,2019-10-03,2,10.27,6.19,1
1,01,2019-10-04,4,18.36,5.59,1
1,01,2019-10-05,2,20.740000000000002,15.25,1
1,01,2019-10-07,13,45.980000000000004,7.08,1
1,01,2019-10-09,2,13.11,7.4,1
1,01,2019-10-10,13,94.07000000000001,10.74,1
1,01,2019-10-14,3,12.37,5.62,1
1,01,2019-10-16,2,7.78,3.89,1
1,01,2019-10-19,1,10.9,10.9,1
1,01,2019-10-21,2,5.42,2.71,1
1,01,2019-10-23,1,2.52,2.52,1
1,01,2019-10-26,3,4.26,1.76,1
1,01,2019-11-01,2,34.52,30.55,1
1,01,2019-11-06,1,0.36,0.36,1
1,01,2019-11-07,3,29.44,13.35,1
1,01,2019-11-14,1,3.81,3.81,1
1,01,2019-11-19,1,1.56,1.56,1
1,01,2019-11-22,2,6.84,5.39,1
1,01,2019-11-26,3,8.24,2.93,1
1,01,2019-12-03,1,2.26,2.26,1
